35,813,105,671
105,671,158,570
158,570,233,423
233,423,275,327
275,327,331,218
331,218,395,138
395,138,408,156
408,156,482,147
482,147,561,137
561,137,585,133
585,133,645,122
645,122,703,115
703,115,754,106
754,106,804,100
804,100,860,90
860,90,913,86
913,86,975,78
975,78,1031,71
1031,71,1085,63
1085,63,1138,58
1138,58,1190,49
1190,49,1247,40
1247,40,1314,31
1314,31,1323,99
1323,99,1336,172
1336,172,1345,257
1345,257,1353,328
1353,328,1359,361
1359,361,1362,406
1362,406,1371,447
1371,447,1382,507
1382,507,1397,610
1397,610,1345,617
1345,617,1325,618
1325,618,1270,628
1270,628,1217,635
1217,635,1164,639
1164,639,1112,651
1112,651,1054,661
1054,661,999,664
999,664,945,673
945,673,893,681
893,681,837,690
837,690,783,697
783,697,711,707
711,707,636,717
636,717,559,731
559,731,489,736
489,736,415,752
415,752,340,762
340,762,265,776
265,776,145,791
145,791,35,813
250,673,327,660
327,660,400,645
400,645,475,641
475,641,549,625
549,625,621,613
621,613,693,605
693,605,769,593
769,593,822,583
822,583,880,578
880,578,928,572
928,572,986,564
986,564,1039,553
1039,553,1100,547
1100,547,1153,538
1153,538,1201,529
1201,529,1255,522
1255,522,1312,516
1312,516,1382,507
1362,406,1320,411
1320,411,1309,415
1309,415,1294,415
1294,415,1240,418
1240,418,1189,429
1189,429,1132,436
1132,436,1086,444
1086,444,1024,452
1024,452,967,460
967,460,914,470
914,470,862,478
862,478,804,485
804,485,754,491
754,491,682,498
682,498,609,514
609,514,534,522
559,731,549,625
549,625,536,551
536,551,534,522
534,522,523,460
523,460,512,421
512,421,516,399
516,399,507,333
507,333,496,270
496,270,489,221
489,221,482,147
561,137,563,210
563,210,574,260
416,230,489,221
489,221,563,210
563,210,594,204
594,204,658,196
658,196,707,192
707,192,768,180
768,180,815,173
815,173,872,165
872,165,923,156
923,156,982,148
982,148,1039,141
1039,141,1094,135
1094,135,1145,126
1145,126,1201,119
1201,119,1253,111
1253,111,1323,99
1031,71,1039,141
1039,141,1046,211
1046,211,1057,281
1057,281,1058,296
1058,296,1070,355
1070,355,1070,403
1070,403,1086,444
1086,444,1100,547
1100,547,1112,651
1336,172,1263,182
1263,182,1209,192
1209,192,1158,198
1158,198,1103,206
1103,206,1046,211
1046,211,988,219
988,219,936,228
936,228,885,236
885,236,827,244
827,244,769,250
769,250,717,259
1164,639,1153,538
1153,538,1132,436
1132,436,1131,396
1131,396,1131,363
1131,363,1139,340
1139,340,1143,321
1143,321,1135,289
1255,522,1240,418
1240,418,1236,376
1236,376,1222,274
1222,274,1209,192
1209,192,1201,119
1201,119,1190,49
415,752,400,645
400,645,386,577
386,577,370,441
370,441,361,359
361,359,349,323
349,323,331,218
1255,522,1270,628
1247,40,1253,111
1253,111,1263,182
1263,182,1276,267
1276,267,1289,339
1289,339,1290,369
1290,369,1294,415
1294,415,1304,463
1304,463,1312,516
1312,516,1325,618
1382,507,1345,617
781,324,838,310
838,310,888,304
888,304,944,296
944,296,999,290
999,290,1057,281
1058,296,1114,289
1114,289,1135,289
1135,289,1171,282
1171,282,1222,274
1222,274,1276,267
1276,267,1345,257
1138,58,1145,126
1145,126,1158,198
1158,198,1171,282
1171,282,1181,388
1181,388,1189,429
1189,429,1201,529
1201,529,1217,635
1114,289,1103,206
1103,206,1094,135
1094,135,1085,63
